simulation,population_size,polarization,rotation
1,200,0.988970,0.035237
2,153,0.767833,0.222516
3,95,0.992986,0.039555
4,136,0.865383,0.207844
5,50,0.154512,0.582071
6,147,0.201744,0.671921
7,87,0.815422,0.001557
8,96,0.976577,0.026226
9,115,0.806420,0.332115
10,193,0.895173,0.262278
11,110,0.758960,0.245788
12,171,0.935018,0.113852
13,137,0.996658,0.015983
14,123,0.722219,0.487790
15,180,0.298893,0.561080
16,48,0.830605,0.327738
17,137,0.225564,0.737739
18,68,0.883538,0.166315
19,198,0.887205,0.062439
20,163,0.223415,0.780026
21,70,0.996966,0.003844
22,154,0.973843,0.067426
23,78,0.978493,0.077698
24,193,0.938597,0.118463
25,171,0.824256,0.219595
26,186,0.980848,0.135698
27,73,0.799573,0.593531
28,80,0.983973,0.071105
29,116,0.988253,0.044428
30,132,0.963807,0.001340
31,174,0.925804,0.152022
32,192,0.428616,0.664936
33,160,0.986106,0.063641
34,147,0.959325,0.082461
35,138,0.982670,0.069871
36,149,0.980016,0.059160
37,108,0.875701,0.191827
38,96,0.750680,0.199728
39,170,0.864407,0.140716
40,113,0.996400,0.066170
41,85,0.139477,0.824874
42,184,0.843011,0.164715
43,128,0.904593,0.213674
44,105,0.953458,0.178431
45,164,0.152186,0.797409
46,196,0.859790,0.247303
47,47,0.939265,0.112478
48,184,0.929275,0.183207
49,118,0.907814,0.188729
50,146,0.855210,0.202375
51,149,0.591140,0.135356
52,153,0.245078,0.562144
53,180,0.806285,0.289764
54,114,0.967167,0.012802
55,113,0.976776,0.043716
56,180,0.207446,0.783909
57,69,0.704955,0.776095
58,121,0.742852,0.048166
59,199,0.684789,0.221292
60,174,0.835098,0.152596
61,120,0.964049,0.041247
62,177,0.856280,0.214768
63,173,0.752906,0.452798
64,111,0.164225,0.786028
65,167,0.938694,0.051687
66,81,0.985252,0.064643
67,64,0.975661,0.113937
68,127,0.969745,0.014185
69,145,0.984928,0.001966
70,148,0.754426,0.254636
71,116,0.982129,0.020198
72,178,0.789633,0.029404
73,152,0.996347,0.007440
74,168,0.933819,0.158165
75,99,0.915380,0.025886
76,95,0.175693,0.790729
77,73,0.988863,0.074919
78,68,0.890366,0.258390
79,122,0.992247,0.018801
80,46,0.999418,0.039147
81,188,0.978728,0.118329
82,105,0.966130,0.013219
83,135,0.975027,0.097466
84,191,0.973140,0.010700
85,120,0.147343,0.753988
86,127,0.940955,0.020111
87,176,0.155811,0.824198
88,171,0.362531,0.551036
89,125,0.986000,0.072220
90,105,0.985237,0.059587
91,79,0.980274,0.015485
92,118,0.778433,0.298452
93,194,0.982142,0.026839
94,93,0.987228,0.038262
95,103,0.988821,0.021836
96,165,0.920249,0.182819
97,58,0.999110,0.046565
98,190,0.966828,0.063305
99,107,0.978360,0.049497
100,159,0.956120,0.199209
