simulation,population_size,polarization,rotation
1,198,0.109036,0.396526
2,153,0.271330,0.799624
3,95,0.818576,0.001792
4,136,0.219175,0.805297
5,50,0.891670,0.294929
6,147,0.118901,0.782156
7,87,0.135823,0.536396
8,96,0.810489,0.788270
9,115,0.217934,0.811363
10,193,0.391425,0.639229
11,110,0.182487,0.847448
12,171,0.118157,0.634732
13,137,0.212654,0.787796
14,123,0.329103,0.698789
15,180,0.925285,0.055569
16,48,0.963289,0.040681
17,137,0.845484,0.278714
18,68,0.384640,0.780981
19,81,0.302528,0.713879
20,163,0.174032,0.957138
21,70,0.404608,0.261581
22,154,0.102375,0.828063
23,78,0.516620,0.010478
24,193,0.845996,0.340088
25,171,0.067601,0.724397
26,186,0.111161,0.835062
27,73,0.931919,0.033846
28,80,0.492014,0.746996
29,116,0.456244,0.360880
30,132,0.045457,0.375617
31,174,0.229272,0.348174
32,192,0.830110,0.109783
33,160,0.107220,0.852480
34,147,0.522570,0.387115
35,138,0.123305,0.821060
36,149,0.288446,0.294434
37,108,0.237832,0.802028
38,96,0.775148,0.362353
39,170,0.749863,0.202532
40,113,0.466442,0.711552
41,85,0.141572,0.708343
42,184,0.328445,0.437430
43,128,0.170799,0.456080
44,105,0.887293,0.308668
45,164,0.089108,0.671886
46,196,0.183104,0.842278
47,47,0.985565,0.257889
48,184,0.220959,0.808062
49,118,0.546727,0.782115
50,146,0.654523,0.590157
