simulation,population_size,polarization,rotation
1,200,0.087312,0.834325
2,153,0.106750,0.051555
3,95,0.690217,0.362294
4,136,0.722005,0.352883
5,50,0.996377,0.026989
6,147,0.329399,0.392126
7,87,0.835381,0.456252
8,96,0.627452,0.721214
9,115,0.641663,0.593329
10,193,0.868740,0.346916
11,110,0.188296,0.768582
12,171,0.277284,0.790552
13,137,0.931135,0.253311
14,123,0.286562,0.748484
15,180,0.014641,0.875450
16,48,0.999006,0.024694
17,137,0.619617,0.123291
18,68,0.981423,0.034013
19,198,0.735669,0.192545
20,163,0.330131,0.602387
21,70,0.547826,0.602334
22,154,0.405113,0.078414
23,78,0.163998,0.781431
24,193,0.212129,0.804369
25,171,0.182787,0.862163
26,186,0.195291,0.828527
27,73,0.798004,0.126220
28,80,0.178579,0.436699
29,116,0.267398,0.722506
30,132,0.291459,0.792919
31,174,0.543226,0.428776
32,192,0.210996,0.355689
33,160,0.109235,0.457122
34,147,0.255757,0.787697
35,138,0.186489,0.823939
36,149,0.276264,0.824710
37,108,0.038498,0.848816
38,96,0.842420,0.172611
39,170,0.444695,0.495540
40,113,0.814667,0.062619
41,85,0.195467,0.869051
42,184,0.037602,0.861517
43,128,0.302169,0.787986
44,105,0.164750,0.855440
45,164,0.143214,0.839308
46,196,0.222241,0.784364
47,47,0.241436,0.653170
48,184,0.347862,0.726749
49,118,0.540987,0.838462
50,146,0.801152,0.267302
51,149,0.098492,0.827327
52,153,0.854077,0.360384
53,180,0.222765,0.835349
54,114,0.414462,0.711748
55,113,0.794910,0.288351
56,180,0.870471,0.095088
57,69,0.894782,0.665556
58,121,0.562105,0.574642
59,199,0.107624,0.873806
60,174,0.139038,0.507533
61,120,0.774455,0.489695
62,177,0.135985,0.837768
63,173,0.634956,0.320344
64,111,0.686176,0.069302
65,167,0.825623,0.034241
66,81,0.793174,0.630209
67,64,0.938947,0.526146
68,127,0.738737,0.376935
69,145,0.669192,0.778481
70,148,0.239732,0.806372
