simulation,population_size,polarization,rotation
71,116,0.265409,0.753503
72,178,0.563377,0.501629
73,152,0.939856,0.055495
74,168,0.379015,0.896487
75,99,0.961501,0.426505
76,95,0.285544,0.834873
77,73,0.310651,0.656251
78,68,0.950365,0.604058
79,122,0.855138,0.302776
80,46,0.255283,0.771697
81,188,0.242022,0.789697
82,105,0.451348,0.087797
83,135,0.800497,0.175245
84,191,0.433854,0.163280
85,120,0.482937,0.149167
86,127,0.136255,0.880813
87,176,0.269425,0.663471
88,171,0.272644,0.717761
89,125,0.583115,0.019800
90,105,0.158646,0.853428
91,79,0.664670,0.334055
92,118,0.781610,0.680102
93,194,0.047998,0.834054
94,93,0.494307,0.040352
95,103,0.116583,0.869957
96,165,0.047801,0.660966
97,58,0.909380,0.768329
98,190,0.203413,0.880718
99,107,0.896378,0.239722
100,159,0.287814,0.425525
101,43,0.846140,0.215885
102,82,0.504796,0.853574
103,171,0.133964,0.820282
104,74,0.163848,0.815426
105,43,0.843574,0.553186
106,149,0.584724,0.276460
107,171,0.186462,0.834549
108,92,0.572226,0.178653
109,157,0.458233,0.451500
110,47,0.585554,0.688878
111,70,0.872639,0.520264
112,127,0.791595,0.423084
113,77,0.673619,0.399785
114,114,0.827860,0.407938
115,192,0.224369,0.785914
116,73,0.088870,0.585273
117,91,0.184907,0.821632
118,157,0.818321,0.430454
119,146,0.690566,0.288119
120,130,0.429401,0.669359
121,198,0.775059,0.414801
122,128,0.061300,0.788590
123,185,0.147974,0.826567
124,161,0.136081,0.781008
125,177,0.509948,0.417628
126,174,0.823888,0.262158
127,189,0.228717,0.707317
128,158,0.153557,0.238336
129,46,0.971592,0.280448
130,178,0.260487,0.795302
131,181,0.271650,0.112261
132,63,0.196753,0.812692
133,76,0.975453,0.037149
134,190,0.572659,0.253341
135,160,0.504881,0.556517
136,89,0.190656,0.821027
137,74,0.966422,0.129357
138,124,0.539359,0.378637
139,176,0.584028,0.355180
140,107,0.802188,0.497963
141,41,0.999173,0.075017
142,91,0.157378,0.720080
143,101,0.157957,0.512232
144,119,0.880095,0.359899
145,173,0.158223,0.168927
146,94,0.456550,0.031565
147,49,0.859448,0.762795
148,138,0.850120,0.086962
149,111,0.190422,0.727478
150,113,0.298193,0.703245
151,183,0.313474,0.817751
152,192,0.410186,0.542388
153,176,0.573343,0.664320
154,190,0.807527,0.100169
155,192,0.205008,0.804695
156,67,0.799275,0.672336
157,135,0.168160,0.457326
158,109,0.230217,0.085585
159,126,0.564141,0.494684
160,85,0.719281,0.430893
161,62,0.752336,0.700006
162,120,0.429241,0.099860
163,133,0.273703,0.797415
164,130,0.934425,0.024399
165,175,0.233499,0.805307
166,83,0.105003,0.754910
167,104,0.164962,0.833241
168,56,0.976216,0.211916
169,100,0.899780,0.552090
170,79,0.813822,0.488794
171,188,0.351034,0.092242
172,125,0.603190,0.607874
173,76,0.070846,0.876297
174,112,0.269486,0.773735
175,128,0.095138,0.835702
176,72,0.143025,0.889035
177,179,0.634134,0.394135
178,55,0.986054,0.241090
179,66,0.239411,0.318821
180,52,0.751893,0.739129
181,110,0.246587,0.730630
182,105,0.297341,0.333984
183,93,0.994844,0.107880
184,107,0.230264,0.778080
185,54,0.243529,0.767889
186,125,0.777076,0.576373
187,178,0.206026,0.281557
188,125,0.304463,0.701694
189,135,0.099466,0.844041
190,185,0.218635,0.799972
191,65,0.840899,0.348240
192,121,0.901173,0.117435
193,55,0.964424,0.052866
194,144,0.277505,0.702082
195,137,0.059144,0.849129
196,46,0.196568,0.928441
197,182,0.490499,0.536268
198,56,0.902989,0.349422
199,152,0.243380,0.765443
200,55,0.805489,0.042027
201,181,0.070585,0.851108
202,89,0.280231,0.656827
203,138,0.075194,0.738894
204,103,0.936953,0.185082
205,193,0.096094,0.862614
206,137,0.297325,0.632391
207,137,0.150120,0.800614
208,40,0.906944,0.028708
209,137,0.094958,0.493904
210,75,0.670687,0.040738
211,146,0.424726,0.100802
212,100,0.199169,0.878677
213,88,0.928722,0.417503
214,127,0.675982,0.149129
215,56,0.750857,0.650369
216,59,0.759627,0.312995
217,176,0.310429,0.262082
218,78,0.876572,0.032688
219,74,0.495809,0.871127
220,54,0.983982,0.091199
221,134,0.091637,0.841498
222,178,0.687202,0.215863
223,52,0.952471,0.144179
224,44,0.997496,0.020508
225,82,0.897492,0.599192
226,124,0.348832,0.511054
227,135,0.757613,0.387779
228,57,0.996652,0.040965
229,173,0.739733,0.112514
230,194,0.221697,0.791791
231,187,0.149064,0.299442
232,187,0.123450,0.304966
233,148,0.151339,0.192288
234,69,0.879493,0.277885
235,196,0.518097,0.469350
236,149,0.439590,0.498404
237,65,0.736997,0.907036
238,156,0.295755,0.742812
239,63,0.930540,0.315637
240,96,0.251866,0.832522
241,121,0.907584,0.266648
242,69,0.602485,0.966332
243,198,0.259377,0.808518
244,73,0.673302,0.603406
245,109,0.387467,0.479296
246,113,0.902237,0.004070
247,52,0.858527,0.143086
248,66,0.709877,0.770278
249,198,0.055699,0.879463
250,120,0.840294,0.440623
251,142,0.263028,0.497573
252,98,0.148198,0.858996
253,162,0.724320,0.235144
254,131,0.156008,0.832914
255,82,0.977022,0.065233
256,146,0.278665,0.805844
257,159,0.206526,0.844378
258,96,0.338065,0.422231
259,78,0.040343,0.869083
260,137,0.746262,0.002664
261,124,0.013320,0.821146
262,57,0.818415,0.545090
263,56,0.148881,0.831002
264,168,0.872455,0.172966
265,186,0.052194,0.652439
266,160,0.252852,0.700216
267,58,0.269548,0.650087
268,176,0.174447,0.862124
269,79,0.884792,0.100087
270,104,0.339210,0.778254
271,55,0.549872,0.827718
272,180,0.425084,0.052596
273,79,0.618360,0.270205
274,118,0.150258,0.431388
275,124,0.822133,0.448931
276,126,0.095818,0.838175
277,64,0.441985,0.911804
278,135,0.291283,0.703336
279,113,0.736934,0.428575
280,183,0.278714,0.781447
281,191,0.134387,0.836272
282,77,0.514357,0.202323
283,78,0.365004,0.604177
284,169,0.179304,0.742913
285,161,0.278946,0.800145
286,41,0.856970,0.170083
287,51,0.756346,0.568544
288,160,0.442302,0.028015
289,72,0.089167,0.871721
290,182,0.146204,0.052657
291,80,0.476428,0.866496
292,71,0.227669,0.881724
293,160,0.047208,0.249249
294,130,0.276042,0.822323
295,51,0.391270,0.055819
296,60,0.845071,0.674300
297,184,0.068940,0.884280
298,101,0.300400,0.793152
299,162,0.086835,0.789155
300,163,0.083507,0.717308
