simulation,population_size,polarization,rotation
1,81,0.907560,0.261590
2,109,0.914814,0.538298
3,152,0.947546,0.310650
4,40,0.999766,0.246417
5,135,0.129350,0.782638
6,122,0.140487,0.751013
7,114,0.993865,0.199973
8,186,0.316162,0.617024
9,54,0.865201,0.238301
10,46,0.128169,0.746290
11,48,0.988557,0.179701
12,92,0.774971,0.374086
13,72,0.650409,0.380513
14,157,0.928756,0.533994
15,178,0.935379,0.122644
16,138,0.055452,0.180539
17,68,0.981915,0.039600
18,89,0.904923,0.034244
19,141,0.759848,0.115904
20,182,0.210837,0.267900
