simulation,population_size,polarization,rotation
1,200,0.739913,0.391373
2,153,0.581909,0.441649
3,95,0.684411,0.278068
4,136,0.542602,0.258313
5,50,0.454261,0.755250
6,147,0.490355,0.298156
7,87,0.210677,0.594787
8,96,0.179926,0.017864
9,115,0.280777,0.660047
10,193,0.297635,0.444657
11,110,0.848105,0.553279
12,171,0.308116,0.544200
13,137,0.743946,0.616185
14,123,0.665354,0.517652
15,180,0.574525,0.673142
16,48,0.751608,0.839420
17,137,0.091365,0.854576
18,68,0.195010,0.121674
19,198,0.239143,0.424940
20,163,0.501666,0.557568
21,70,0.997040,0.082795
22,154,0.101104,0.829895
23,78,0.684530,0.867437
24,193,0.275609,0.347882
25,171,0.578108,0.690234
26,186,0.753415,0.367570
27,73,0.970403,0.451029
28,80,0.494197,0.086513
29,116,0.939334,0.076134
30,132,0.455216,0.544266
31,174,0.226123,0.762016
32,192,0.102388,0.006160
33,160,0.167285,0.914009
34,147,0.267798,0.791767
35,138,0.855895,0.222613
36,149,0.662697,0.538504
37,108,0.388520,0.626583
38,96,0.136587,0.785918
39,170,0.056422,0.238238
40,113,0.823119,0.493109
41,85,0.420058,0.821632
42,184,0.317597,0.724540
43,128,0.393090,0.671237
44,105,0.491782,0.563389
45,164,0.734158,0.154675
46,196,0.171583,0.279933
47,47,0.996810,0.006322
48,184,0.198649,0.826005
49,118,0.699533,0.471043
50,146,0.361249,0.596130
51,149,0.388425,0.371457
52,153,0.801732,0.392559
53,180,0.054921,0.824294
54,114,0.657654,0.360508
55,113,0.077473,0.723432
56,180,0.320020,0.707938
57,69,0.267316,0.547191
58,121,0.644957,0.680306
59,199,0.074335,0.848286
60,174,0.195510,0.688168
61,120,0.375180,0.201736
62,177,0.657070,0.732543
63,173,0.332983,0.744199
64,111,0.540077,0.188293
65,167,0.882047,0.408609
66,81,0.703878,0.297773
67,64,0.782596,0.224574
68,127,0.657229,0.236667
69,145,0.733658,0.145548
70,148,0.165624,0.832177
71,116,0.402014,0.571719
72,178,0.224963,0.792104
73,152,0.173846,0.809092
74,168,0.253711,0.793255
75,99,0.993716,0.052738
76,95,0.075804,0.382748
77,73,0.766601,0.716149
78,68,0.876764,0.188089
79,122,0.381860,0.627460
80,46,0.149600,0.533558
81,188,0.040152,0.827870
82,105,0.839826,0.013219
83,135,0.978983,0.271835
84,191,0.879747,0.280867
85,120,0.799285,0.097685
86,127,0.111819,0.818298
87,176,0.102728,0.543877
88,171,0.625661,0.273165
89,125,0.859499,0.316871
90,105,0.229067,0.066279
91,79,0.855895,0.001114
92,118,0.089663,0.851949
93,194,0.667834,0.382016
94,93,0.140861,0.643436
95,103,0.916767,0.164337
96,165,0.786249,0.111250
97,58,0.543019,0.816203
98,190,0.697957,0.067755
99,107,0.658422,0.431042
100,159,0.131811,0.834037
