simulation,population_size,polarization,rotation
1,200,0.291263,0.670822
2,200,0.820718,0.421652
3,200,0.809477,0.062903
4,200,0.876540,0.163912
5,200,0.218973,0.806975
6,200,0.044059,0.823167
7,200,0.956608,0.100635
8,200,0.668135,0.612512
9,200,0.967131,0.126634
10,200,0.941105,0.268699
11,200,0.254915,0.716269
12,200,0.793426,0.304635
13,200,0.761942,0.377864
14,200,0.255172,0.617371
15,200,0.242605,0.712729
16,200,0.749404,0.151250
17,200,0.903670,0.210932
18,200,0.971474,0.017363
19,200,0.819986,0.559336
20,200,0.956200,0.290150
21,200,0.357017,0.868281
22,200,0.694556,0.191808
23,200,0.189341,0.757844
24,200,0.920905,0.126052
25,200,0.875872,0.006694
26,200,0.057700,0.850494
27,200,0.220946,0.894561
28,200,0.732178,0.657776
29,200,0.280112,0.684594
30,200,0.856776,0.144277
31,200,0.358305,0.050299
32,200,0.876017,0.159017
33,200,0.378073,0.469291
34,200,0.183364,0.762527
35,200,0.594574,0.501953
36,200,0.113822,0.688002
37,200,0.982601,0.009188
38,200,0.926093,0.008218
39,200,0.690966,0.193972
40,200,0.604261,0.399914
41,200,0.831619,0.535746
42,200,0.650207,0.120884
43,200,0.655575,0.202830
44,200,0.819375,0.244431
45,200,0.104305,0.818183
46,200,0.793407,0.174964
47,200,0.953871,0.014475
48,200,0.451240,0.591997
49,200,0.620106,0.829827
50,200,0.121993,0.806114
