simulation,population_size,polarization,rotation
1,200,0.757188,0.330869
2,153,0.971789,0.108693
3,95,0.854836,0.403013
4,136,0.834789,0.055066
5,50,0.990019,0.009887
6,147,0.119355,0.687791
7,87,0.958281,0.283367
8,96,0.795742,0.408530
9,115,0.966485,0.062312
10,193,0.157829,0.778399
11,110,0.971495,0.194330
12,171,0.096015,0.788112
13,137,0.239191,0.726569
14,123,0.950761,0.229841
15,180,0.534263,0.810097
16,48,0.839561,0.717574
17,137,0.226109,0.667693
18,68,0.822283,0.758391
19,198,0.672177,0.221588
20,163,0.945017,0.000037
21,70,0.997713,0.069282
22,154,0.848956,0.418120
23,78,0.742164,0.764688
24,193,0.902536,0.136945
25,171,0.965200,0.032483
26,186,0.829821,0.625499
27,73,0.998290,0.052782
28,80,0.700616,0.763161
29,116,0.683852,0.778504
30,132,0.216290,0.824029
31,174,0.872392,0.360290
32,192,0.599555,0.754393
33,160,0.371209,0.932278
34,147,0.416615,0.652817
35,138,0.155180,0.360777
36,149,0.643278,0.775487
37,108,0.925581,0.123794
38,96,0.649583,0.631535
39,170,0.217370,0.911201
40,113,0.865814,0.611145
41,85,0.699336,0.630958
42,184,0.822151,0.208694
43,128,0.738617,0.106900
44,105,0.769899,0.645857
45,164,0.918895,0.418048
46,196,0.949931,0.096647
47,47,0.999678,0.014314
48,184,0.261497,0.554646
49,118,0.155211,0.705144
50,146,0.933815,0.054240
51,149,0.933083,0.211626
52,153,0.911324,0.029825
53,180,0.913168,0.170849
54,114,0.719632,0.811911
55,113,0.904724,0.536654
56,180,0.979859,0.001703
57,69,0.993200,0.009228
58,121,0.939409,0.199527
59,199,0.151086,0.452576
60,174,0.616980,0.888307
61,120,0.494269,0.293239
62,177,0.969166,0.118010
63,173,0.330383,0.329973
64,111,0.367567,0.846723
65,167,0.808312,0.334089
66,81,0.940074,0.345187
67,64,0.987200,0.187389
68,127,0.859394,0.254057
69,145,0.910861,0.009836
70,148,0.895317,0.282883
71,116,0.229021,0.760401
72,178,0.308709,0.764399
73,152,0.904245,0.064931
74,168,0.641621,0.642892
75,99,0.755551,0.827370
76,95,0.992541,0.043002
77,73,0.440039,0.831131
78,68,0.905641,0.285886
79,122,0.897458,0.097051
80,46,0.666086,0.652006
81,188,0.862899,0.064395
82,105,0.214058,0.782692
83,135,0.881198,0.013225
84,191,0.802023,0.235468
85,120,0.312555,0.651644
86,127,0.947478,0.274916
87,176,0.190483,0.740672
88,171,0.300893,0.632422
89,125,0.556390,0.648648
90,105,0.870614,0.131066
91,79,0.968025,0.021747
92,118,0.196721,0.757717
93,194,0.400228,0.040973
94,93,0.868916,0.585253
95,103,0.315031,0.680940
96,165,0.237060,0.494630
97,58,0.987364,0.089349
98,190,0.654881,0.526961
99,107,0.619522,0.673871
100,159,0.935691,0.040092
101,43,1.000000,0.000047
102,82,0.442426,0.353831
103,171,0.888751,0.449305
104,74,0.703281,0.591435
105,43,0.903832,0.722752
106,149,0.214893,0.783190
107,171,0.921539,0.271797
108,92,0.890719,0.370927
109,157,0.584211,0.199715
110,47,0.993092,0.037295
111,70,0.984749,0.104722
112,127,0.661985,0.506337
113,77,0.966733,0.128813
114,114,0.656025,0.645844
115,192,0.351919,0.918095
116,73,0.998955,0.015186
117,91,0.229000,0.736307
118,157,0.555960,0.927614
119,146,0.895620,0.282738
120,130,0.896966,0.289789
121,198,0.360770,0.597537
122,128,0.704720,0.376992
123,185,0.865392,0.069092
124,161,0.055787,0.582855
125,177,0.338963,0.226050
126,174,0.771931,0.042546
127,189,0.849746,0.184960
128,158,0.481914,0.889805
129,46,0.940012,0.493127
130,178,0.885993,0.115433
131,181,0.293836,0.763464
132,63,0.979261,0.038981
133,76,0.917967,0.605782
134,190,0.917985,0.317998
135,160,0.818009,0.548607
136,89,0.989620,0.030243
137,74,0.976234,0.288846
138,124,0.680094,0.858034
139,176,0.260490,0.950540
140,107,0.225574,0.640082
141,41,0.955668,0.354627
142,91,0.932815,0.335941
143,101,0.571254,0.614112
144,119,0.748730,0.672245
145,173,0.649557,0.316960
146,94,0.855403,0.714384
147,49,0.936512,0.532828
148,138,0.450797,0.826553
149,111,0.690881,0.673484
150,113,0.981651,0.005478
151,183,0.712864,0.676479
152,192,0.237608,0.500903
153,176,0.400955,0.940642
154,190,0.063523,0.960534
155,192,0.426820,0.825384
156,67,0.966906,0.111628
157,135,0.919095,0.260459
158,109,0.146384,0.904328
159,126,0.794285,0.332266
160,85,0.960655,0.191686
161,62,0.999684,0.020707
162,120,0.765921,0.699353
163,133,0.953022,0.166721
164,130,0.284447,0.865426
165,175,0.694375,0.495803
166,83,0.142917,0.929226
167,104,0.968289,0.106434
168,56,0.913486,0.242584
169,100,0.824450,0.446750
170,79,0.879777,0.575504
171,188,0.867984,0.465162
172,125,0.884923,0.488329
173,76,0.943637,0.228696
174,112,0.746549,0.465435
175,128,0.823188,0.239363
176,72,0.991631,0.055432
177,179,0.799729,0.600468
178,55,0.983355,0.168690
179,66,0.998543,0.001630
180,52,0.651114,0.819649
181,110,0.932473,0.212447
182,105,0.846017,0.742426
183,93,0.716198,0.371947
184,107,0.953671,0.052606
185,54,0.952636,0.074318
186,125,0.877737,0.751923
187,178,0.489319,0.752736
188,125,0.891089,0.011573
189,135,0.795898,0.801691
190,185,0.166088,0.507302
191,65,0.815075,0.653676
192,121,0.810234,0.746042
