simulation,population_size,polarization,rotation
193,55,0.938386,0.195193
194,144,0.360890,0.583411
195,137,0.933042,0.061104
196,46,0.895554,0.537484
197,182,0.893085,0.148241
198,56,0.874870,0.652239
199,152,0.826367,0.679387
200,55,0.747626,0.347274
201,181,0.408310,0.540528
202,89,0.991631,0.009375
203,138,0.945883,0.051138
204,103,0.976184,0.098274
205,193,0.762606,0.326674
206,137,0.641383,0.340278
207,137,0.922510,0.096277
208,40,0.872978,0.528653
209,137,0.945417,0.009951
210,75,0.950071,0.086457
211,146,0.937832,0.029095
212,100,0.876881,0.588979
213,88,0.162244,0.850029
214,127,0.082611,0.654681
215,56,0.996362,0.034794
216,59,0.959810,0.176122
217,176,0.217718,0.751293
218,78,0.283595,0.922798
219,74,0.239331,0.878037
220,54,0.601897,0.792921
221,134,0.971606,0.119093
222,178,0.518871,0.380642
223,52,0.690196,0.767627
224,44,0.998003,0.008197
225,82,0.404300,0.922988
226,124,0.972661,0.001654
227,135,0.207631,0.755559
228,57,0.947919,0.150511
229,173,0.686669,0.372870
230,194,0.105691,0.388131
231,187,0.650656,0.489933
232,187,0.376792,0.671983
233,148,0.749514,0.486693
234,69,0.889182,0.407318
235,196,0.861757,0.423508
236,149,0.813750,0.262898
237,65,0.656786,0.948852
238,156,0.219617,0.747036
239,63,0.978192,0.114112
240,96,0.226530,0.649099
241,121,0.945405,0.105227
242,69,0.872894,0.607302
243,198,0.267601,0.759458
244,73,0.267273,0.705222
245,109,0.929707,0.087366
246,113,0.973248,0.136289
247,52,0.978107,0.046767
248,66,0.966098,0.019630
249,198,0.630029,0.689608
250,120,0.982148,0.145553
251,142,0.106893,0.825909
252,98,0.780983,0.119995
253,162,0.945351,0.023107
254,131,0.840485,0.151850
255,82,0.983685,0.130124
256,146,0.796038,0.011697
257,159,0.285754,0.648535
258,96,0.464463,0.922400
259,78,0.385106,0.813085
260,137,0.886164,0.284686
261,124,0.213379,0.748200
262,57,0.826847,0.878651
263,56,0.982731,0.004715
264,168,0.984622,0.128681
265,186,0.767051,0.312144
266,160,0.715957,0.386524
267,58,0.992760,0.029901
268,176,0.128797,0.480517
269,79,0.841340,0.566938
270,104,0.784811,0.662567
271,55,0.969826,0.085361
272,180,0.338352,0.589860
273,79,0.965028,0.053290
274,118,0.758878,0.841961
275,124,0.822691,0.296469
276,126,0.264465,0.686342
277,64,0.946915,0.166211
278,135,0.636391,0.813795
279,113,0.738548,0.474532
280,183,0.706424,0.735594
281,191,0.261957,0.761575
282,77,0.229053,0.840688
283,78,0.700248,0.793940
284,169,0.786943,0.741251
285,161,0.144582,0.705839
286,41,0.730969,0.685534
287,51,0.999763,0.007349
288,160,0.950440,0.132643
289,72,0.870769,0.586835
290,182,0.813028,0.306303
291,80,0.965819,0.227869
292,71,0.948049,0.322186
293,160,0.972400,0.054856
294,130,0.222777,0.724710
295,51,0.901555,0.023059
296,60,0.478899,0.755216
297,184,0.313434,0.684523
298,101,0.698689,0.093607
299,162,0.611372,0.782627
300,163,0.662984,0.713517
301,52,0.993899,0.082827
302,135,0.908084,0.354130
303,154,0.811145,0.200663
304,74,0.936001,0.407084
305,52,0.919919,0.124256
306,130,0.213958,0.709424
307,93,0.971075,0.211128
308,167,0.860940,0.623963
309,75,0.297712,0.964771
310,53,0.840371,0.442000
311,78,0.950722,0.197230
312,68,0.865546,0.233273
313,184,0.849862,0.620152
314,90,0.975522,0.116406
315,79,0.975459,0.165326
316,66,0.157297,0.952140
317,58,0.954953,0.496739
318,115,0.244880,0.937233
319,144,0.877217,0.104118
320,172,0.976275,0.042470
321,49,0.415919,0.934166
322,89,0.984447,0.093059
323,103,0.947484,0.430889
324,109,0.748854,0.623591
325,72,0.867039,0.292316
326,51,0.949478,0.358439
327,117,0.926959,0.244506
328,170,0.765899,0.707787
329,151,0.778866,0.807536
330,45,0.999998,0.008430
331,56,0.999829,0.007789
332,61,0.980040,0.063987
333,98,0.711801,0.924763
334,175,0.849426,0.040791
335,122,0.935301,0.077824
336,149,0.925843,0.001491
337,122,0.864111,0.244372
338,103,0.939017,0.211970
339,191,0.806891,0.134340
340,67,0.892713,0.443007
341,167,0.809372,0.304341
342,84,0.978923,0.007493
343,152,0.878636,0.534218
344,129,0.895083,0.343845
345,147,0.676797,0.583449
346,61,0.932836,0.031064
347,101,0.830534,0.087426
348,55,0.908920,0.476080
349,167,0.292688,0.766276
350,104,0.833410,0.289077
351,186,0.308193,0.742114
352,117,0.910041,0.120106
353,180,0.236244,0.681607
354,169,0.834950,0.583939
355,199,0.162969,0.803484
356,159,0.826083,0.658939
357,52,0.993327,0.013942
358,137,0.919720,0.344408
359,85,0.954456,0.254802
360,108,0.924007,0.318119
361,101,0.990166,0.109526
362,43,0.900596,0.394195
363,104,0.987045,0.078225
364,41,0.970428,0.063660
365,170,0.580526,0.871579
366,125,0.913435,0.150939
367,89,0.654691,0.890187
368,75,0.972798,0.133118
369,66,0.905844,0.411391
370,100,0.928050,0.080544
371,112,0.857157,0.001104
372,87,0.645153,0.110962
373,116,0.858217,0.241532
374,81,0.857467,0.236254
375,185,0.637282,0.767618
376,142,0.861797,0.181306
377,167,0.629977,0.659142
378,48,0.795959,0.531770
379,115,0.908474,0.392083
380,51,0.482076,0.746723
381,151,0.912039,0.282151
382,124,0.142977,0.868860
383,127,0.927565,0.171812
384,186,0.248867,0.876692
385,99,0.868058,0.378904
386,123,0.919943,0.325447
387,113,0.854247,0.285744
388,107,0.791236,0.719020
389,177,0.881802,0.210981
390,104,0.245140,0.697518
391,72,0.981368,0.033917
392,154,0.090141,0.697394
393,101,0.788586,0.727549
394,74,0.957981,0.117301
395,120,0.974776,0.185575
396,96,0.727922,0.595267
397,121,0.976795,0.118855
398,162,0.263975,0.744585
399,152,0.281399,0.590913
400,167,0.860068,0.212118
