simulation,population_size,polarization,rotation
1,200,0.539322,0.204690
2,153,0.952671,0.399620
3,95,0.933842,0.461510
4,136,0.920302,0.161110
5,50,0.097499,0.959363
6,147,0.258181,0.715519
7,87,0.547462,0.166196
8,96,0.679638,0.420058
9,115,0.875695,0.131663
10,193,0.883924,0.057663
11,110,0.967796,0.263850
12,171,0.976542,0.090103
13,137,0.759916,0.404930
14,123,0.979315,0.018890
15,180,0.290874,0.768305
16,48,0.814102,0.589336
17,137,0.084215,0.827806
18,68,0.993806,0.004561
19,198,0.455382,0.770672
20,163,0.180865,0.697401
21,70,0.961107,0.037709
22,154,0.363826,0.845826
23,78,0.983249,0.075617
24,193,0.381807,0.666309
25,171,0.120657,0.774259
26,186,0.974963,0.249168
27,73,0.995608,0.006738
28,80,0.883140,0.392955
29,116,0.904257,0.278779
30,132,0.973413,0.225735
31,174,0.478389,0.375707
32,192,0.754848,0.123520
33,160,0.804256,0.420084
34,147,0.980398,0.092143
35,138,0.202870,0.757150
36,149,0.928307,0.235243
37,108,0.971815,0.180248
38,96,0.911873,0.277300
39,170,0.912816,0.027549
40,113,0.983418,0.578263
41,85,0.230802,0.736227
42,184,0.682413,0.466433
43,128,0.300742,0.716088
44,105,0.797902,0.395688
45,164,0.332962,0.586657
46,196,0.700472,0.718077
47,47,0.917492,0.039394
48,184,0.930448,0.339256
49,118,0.963621,0.158474
50,146,0.861939,0.114935
51,149,0.508229,0.649408
52,153,0.223450,0.743964
53,180,0.188659,0.679982
54,114,0.830583,0.486258
55,113,0.988008,0.015882
56,180,0.966574,0.165700
57,69,0.150656,0.796702
58,121,0.593083,0.699711
59,199,0.783762,0.608453
60,174,0.202213,0.643945
61,120,0.754745,0.789807
62,177,0.861489,0.026086
63,173,0.296614,0.767682
64,111,0.783014,0.559231
65,167,0.185289,0.765534
66,81,0.790142,0.835479
67,64,0.144072,0.717432
68,127,0.923619,0.402737
69,145,0.796990,0.121758
70,148,0.969858,0.140034
71,116,0.142003,0.802642
72,178,0.227853,0.533585
73,152,0.943189,0.181262
74,168,0.900550,0.589869
75,99,0.742157,0.279005
76,95,0.658780,0.722680
77,73,0.775677,0.177367
78,68,0.137305,0.786466
79,122,0.527114,0.792772
80,46,0.924340,0.458057
81,188,0.260484,0.374428
82,105,0.455979,0.977307
83,135,0.901438,0.025115
84,191,0.878749,0.592610
85,120,0.910699,0.405032
86,127,0.970562,0.074608
87,176,0.209354,0.806794
88,171,0.350364,0.724622
89,125,0.782187,0.786063
90,105,0.289264,0.957396
91,79,0.974134,0.183226
92,118,0.719172,0.600282
93,194,0.921427,0.278909
94,93,0.997876,0.055103
95,103,0.735075,0.510431
96,165,0.956504,0.137329
97,58,0.801312,0.458371
98,190,0.263753,0.733010
99,107,0.900487,0.152394
100,159,0.850127,0.556581
