simulation,population_size,polarization,rotation
1,50,0.856101,0.577001
2,50,0.235413,0.683844
3,50,0.992686,0.254008
4,50,0.167139,0.813920
5,50,0.999793,0.363305
6,50,0.945214,0.325455
7,50,0.994893,0.350223
8,50,0.990040,0.193906
9,50,0.526904,0.802601
10,50,0.228807,0.500377
11,50,0.877750,0.015378
12,50,0.565454,0.110675
13,50,0.999833,0.304152
14,50,0.967994,0.243972
15,50,0.998689,0.475101
16,50,0.999751,0.005687
17,50,0.964722,0.459910
18,50,0.948988,0.272774
19,50,0.414499,0.321596
20,50,0.998933,0.134355
