simulation,population_size,polarization,rotation
1,81,0.907560,0.261590
2,109,0.914814,0.538298
3,152,0.947546,0.310650
4,40,0.999766,0.246417
5,135,0.129350,0.782638
6,122,0.140487,0.751013
7,114,0.993865,0.199973
8,186,0.316162,0.617024
9,54,0.865201,0.238301
10,46,0.128169,0.746290
11,48,0.988557,0.179701
12,92,0.774971,0.374086
13,72,0.650409,0.380513
14,157,0.928756,0.533994
15,178,0.935379,0.122644
16,138,0.055452,0.180539
17,68,0.981915,0.039600
18,89,0.904923,0.034244
19,141,0.759848,0.115904
20,182,0.210837,0.267900
21,62,0.262892,0.793199
22,109,0.667812,0.007790
23,197,0.189973,0.812628
24,139,0.206770,0.733893
25,186,0.210671,0.841524
26,119,0.085103,0.232449
27,47,0.940517,0.036461
28,194,0.186353,0.513919
29,135,0.022421,0.788605
30,65,0.999171,0.173148
31,120,0.968227,0.356084
32,102,0.995014,0.349048
33,84,0.796765,0.124455
34,72,0.998811,0.152840
35,94,0.979895,0.059358
36,63,0.985043,0.168353
37,102,0.231101,0.780578
38,121,0.861013,0.319724
39,68,0.999163,0.093758
40,183,0.318465,0.487135
41,119,0.750531,0.008316
42,99,0.969268,0.214269
43,190,0.341497,0.760322
44,168,0.162250,0.779080
45,159,0.991266,0.011628
46,100,0.109579,0.856444
47,135,0.799863,0.487968
48,188,0.938189,0.371571
49,70,0.338330,0.701974
50,163,0.247342,0.819203
51,191,0.123115,0.715671
52,198,0.280797,0.026627
53,92,0.998734,0.145100
54,57,0.998388,0.050559
55,135,0.159733,0.550300
56,163,0.888851,0.224144
57,108,0.476675,0.193889
58,164,0.995581,0.044277
59,71,0.990275,0.150628
60,182,0.950568,0.066420
61,163,0.899790,0.013991
62,183,0.948723,0.379344
63,134,0.569469,0.593824
64,66,0.222002,0.584337
65,125,0.793737,0.353066
66,158,0.668413,0.482223
67,66,0.996793,0.096051
68,189,0.157916,0.851856
69,158,0.166296,0.319844
70,64,0.988569,0.126678
71,196,0.286157,0.761452
72,119,0.973505,0.023619
73,184,0.123670,0.845207
74,153,0.071482,0.706778
75,116,0.995657,0.040457
76,76,0.998466,0.008189
77,89,0.883596,0.264620
78,85,0.184847,0.825845
79,72,0.882606,0.281245
80,153,0.186967,0.402850
81,197,0.980240,0.067933
82,171,0.163791,0.824728
83,119,0.995875,0.189819
84,42,0.992300,0.234978
85,136,0.999249,0.176520
86,126,0.721987,0.108139
87,177,0.993252,0.019052
88,61,0.987830,0.048138
89,121,0.162699,0.843470
90,196,0.950032,0.184222
91,88,0.978445,0.387777
92,183,0.985017,0.271938
93,193,0.111631,0.844258
94,199,0.324503,0.129771
95,56,0.944147,0.232405
96,94,0.953283,0.267084
97,114,0.070782,0.169434
98,178,0.969511,0.119787
99,85,0.971538,0.140580
100,41,0.542428,0.605084
