simulation,population_size,polarization,rotation
1,200,0.665327,0.208172
2,200,0.757188,0.330869
3,200,0.852202,0.397950
4,200,0.813978,0.437530
5,200,0.373016,0.507008
6,200,0.898773,0.100547
7,200,0.787023,0.198877
8,200,0.913622,0.122555
9,200,0.815182,0.395936
10,200,0.955004,0.159055
11,200,0.460625,0.794385
12,200,0.182041,0.463574
13,200,0.759162,0.549214
14,200,0.928178,0.182413
15,200,0.182661,0.738159
16,200,0.273159,0.721591
17,200,0.563220,0.870280
18,200,0.649981,0.672516
19,200,0.165673,0.859443
20,200,0.728865,0.204150
21,200,0.838819,0.006658
22,200,0.853896,0.217840
23,200,0.770273,0.012038
24,200,0.649601,0.473927
25,200,0.157350,0.655343
26,200,0.819708,0.212109
27,200,0.870850,0.140191
28,200,0.752470,0.664461
29,200,0.173907,0.813210
30,200,0.794852,0.074055
31,200,0.896127,0.402190
32,200,0.332655,0.859103
33,200,0.908630,0.161773
34,200,0.798844,0.052828
35,200,0.789884,0.201131
36,200,0.561796,0.615210
37,200,0.097623,0.817617
38,200,0.831616,0.313992
39,200,0.395639,0.106867
40,200,0.393842,0.793611
41,200,0.277365,0.728633
42,200,0.928327,0.167519
43,200,0.607921,0.591308
44,200,0.720523,0.043457
45,200,0.765666,0.292530
46,200,0.667676,0.246988
47,200,0.241153,0.747573
48,200,0.853262,0.400498
49,200,0.957204,0.028982
50,200,0.974300,0.222769
51,200,0.232744,0.712927
52,200,0.858024,0.200061
53,200,0.953457,0.184886
54,200,0.839096,0.224603
55,200,0.186365,0.769374
56,200,0.107977,0.809434
57,200,0.617510,0.773775
58,200,0.748580,0.135256
59,200,0.704632,0.489899
60,200,0.881515,0.302683
61,200,0.390906,0.505487
62,200,0.229708,0.706221
63,200,0.714652,0.654615
64,200,0.752699,0.733183
65,200,0.180246,0.653557
66,200,0.836242,0.407389
67,200,0.817182,0.160924
68,200,0.820022,0.007162
69,200,0.505911,0.877084
70,200,0.367374,0.116776
71,200,0.278360,0.742380
72,200,0.767782,0.321161
73,200,0.844445,0.114297
74,200,0.855532,0.266155
75,200,0.892741,0.644251
76,200,0.671395,0.277509
77,200,0.303189,0.628129
78,200,0.934413,0.250190
79,200,0.142149,0.827715
80,200,0.128427,0.027839
81,200,0.953638,0.000613
82,200,0.249452,0.728049
83,200,0.747521,0.279681
84,200,0.979208,0.083718
85,200,0.766460,0.242560
86,200,0.786104,0.044214
87,200,0.127745,0.730449
88,200,0.950403,0.114829
89,200,0.210100,0.112655
90,200,0.618320,0.056457
91,200,0.853548,0.505473
92,200,0.258976,0.686409
93,200,0.128375,0.802191
94,200,0.399695,0.613753
95,200,0.776659,0.065663
96,200,0.195710,0.751335
97,200,0.962582,0.176244
98,200,0.834343,0.159281
99,200,0.254327,0.224784
100,200,0.398381,0.641820
101,200,0.894739,0.158853
102,200,0.100225,0.797799
103,200,0.661971,0.744832
104,200,0.872758,0.170400
105,200,0.912993,0.371940
106,200,0.782261,0.496730
107,200,0.148300,0.782953
108,200,0.205738,0.818669
109,200,0.256542,0.543172
110,200,0.954512,0.191880
111,200,0.243034,0.756103
112,200,0.675945,0.653697
113,200,0.675375,0.471671
114,200,0.776932,0.150707
115,200,0.646574,0.695512
116,200,0.694604,0.573400
117,200,0.752486,0.204819
118,200,0.345029,0.409126
119,200,0.881426,0.506335
120,200,0.839162,0.307866
121,200,0.258691,0.643414
122,200,0.226488,0.609215
123,200,0.166696,0.759796
124,200,0.843818,0.015443
125,200,0.650996,0.460839
126,200,0.814934,0.025946
127,200,0.877699,0.010486
128,200,0.357711,0.855813
129,200,0.958089,0.178042
130,200,0.136312,0.912830
131,200,0.908996,0.074882
132,200,0.681832,0.521475
133,200,0.708050,0.652247
134,200,0.079632,0.847839
135,200,0.893994,0.554348
136,200,0.744735,0.721198
137,200,0.384558,0.910378
138,200,0.208904,0.583820
139,200,0.162987,0.154992
140,200,0.320521,0.674688
141,200,0.866778,0.066853
142,200,0.914600,0.119753
143,200,0.903132,0.355175
144,200,0.906216,0.371907
145,200,0.312814,0.502675
146,200,0.626081,0.673681
147,200,0.295726,0.572717
148,200,0.900532,0.523613
149,200,0.921815,0.396046
150,200,0.534635,0.723205
151,200,0.784213,0.152716
152,200,0.859752,0.502742
153,200,0.866143,0.077223
154,200,0.446807,0.542497
155,200,0.714146,0.226004
156,200,0.725917,0.607462
157,200,0.924726,0.090868
158,200,0.884232,0.467636
159,200,0.695362,0.191478
160,200,0.835649,0.616002
161,200,0.889998,0.051270
162,200,0.973971,0.128405
163,200,0.585904,0.673767
164,200,0.300311,0.665013
165,200,0.325061,0.757817
166,200,0.842368,0.546538
167,200,0.847707,0.620322
168,200,0.285383,0.354681
169,200,0.405216,0.805857
170,200,0.654575,0.170523
171,200,0.931243,0.298359
172,200,0.353870,0.886051
173,200,0.953597,0.024517
174,200,0.328674,0.488927
175,200,0.143425,0.689142
176,200,0.394204,0.284916
177,200,0.887524,0.273746
178,200,0.807565,0.147901
179,200,0.621005,0.686630
180,200,0.744176,0.696506
181,200,0.472435,0.305161
182,200,0.727290,0.401712
183,200,0.500324,0.744634
184,200,0.597704,0.450212
185,200,0.483051,0.356803
186,200,0.847888,0.553741
187,200,0.881506,0.324171
188,200,0.885972,0.300994
189,200,0.327259,0.324111
190,200,0.866243,0.424904
191,200,0.284081,0.623433
192,200,0.949583,0.117064
193,200,0.743451,0.213177
194,200,0.162976,0.562068
195,200,0.798180,0.753353
196,200,0.869036,0.087370
197,200,0.268258,0.574128
198,200,0.943501,0.129442
199,200,0.522740,0.059538
200,200,0.892435,0.418323
